tfopwg_disp,,ra,,dec,pl_orbper,,,,pl_trandurh,,,,pl_trandep,,,,pl_rade,,,,pl_insol,,,,pl_eqt,,,,st_teff,,,,st_rad
CANDIDATE,,320.895178,,38.313832,4.6474314,,,,8.452,,,,2652,,,,16.1625,,,,3924.24,,,,2204,,,,6455,,,,3.44
CANDIDATE,,261.294366,,-40.583473,8.1755735,,,,7.683,,,,2870,,,,17.9327,,,,4574.7,,,,2291,,,,9169,,,,3.44
FALSE POSITIVE,,206.77501,,-70.50753,5.9685742,,,,2.059,,,,340,,,,6.64236,,,,1041.97,,,,1582,,,,10390,,,,3.44
CANDIDATE,,164.932471,,-82.22135,4.3780194,,,,8.4203321,,,,1604.382513,,,,14.3632742,,,,430.9825946,,,,1162.076403,,,,4913,,,,3.41348
CANDIDATE,,309.954211,,68.720161,5.4328364,,,,7.38,,,,1420,,,,12.63,,,,1693.95,,,,1787,,,,6024,,,,3.4
CANDIDATE,,40.245588,,42.871248,1.8646725,,,,1.028,,,,570,,,,12.8352,,,,3903.88,,,,2202,,,,9898,,,,3.4
FALSE POSITIVE,,348.574188,,65.957972,1.23852,,,,3.138,,,,440,,,,7.11712,,,,9304.06,,,,2736,,,,6524,,,,3.4
FALSE POSITIVE,,119.533518,,-60.780499,6.7391601,,,,2.537,,,,3040,,,,30.8876,,,,5656.73,,,,2416,,,,10341,,,,3.39
FALSE POSITIVE,,277.907741,,13.897884,1.09333,,,,1.975,,,,1250,,,,12.2642,,,,2102.07,,,,1886,,,,5274,,,,3.39
CANDIDATE,,305.395161,,56.462656,5.5402372,,,,7.713,,,,2710,,,,17.4013,,,,2282.41,,,,1925,,,,6415,,,,3.39
CANDIDATE,,137.2905,,-51.073956,7.6016156,,,,2.116,,,,2969,,,,19.3547,,,,44.5994,,,,719,,,,5200,,,,3.38
CANDIDATE,,184.978758,,-25.827853,9.956296,,,,10.474,,,,1024,,,,8.32411,,,,1247.74,,,,1655,,,,4956,,,,3.38
FALSE POSITIVE,,227.191112,,62.959153,32.1400505,,,,2.809,,,,883,,,,22.7389,,,,37.4567,,,,689,,,,5019,,,,3.37
FALSE POSITIVE,,338.796529,,55.031026,10.9115374,,,,3.269,,,,1039,,,,18.4382,,,,17372.4,,,,3198,,,,9195,,,,3.37
CANDIDATE,,128.916062,,-62.114976,1.3475728,,,,1.589,,,,2570,,,,18.0939,,,,1178.75,,,,1632,,,,5434,,,,3.36
FALSE POSITIVE,,38.821696,,55.703217,2.27456,,,,3.32,,,,1020,,,,13.266,,,,21521.5,,,,3374,,,,6777,,,,3.35
CANDIDATE,,221.42572,,-65.8513,5.8778295,,,,3.392,,,,1326,,,,11.2784,,,,316.166,,,,1174,,,,5965,,,,3.34
FALSE POSITIVE,,70.100556,,81.077272,9.8482192,,,,4.24,,,,1670,,,,13.8742,,,,206.691,,,,1056,,,,6126,,,,3.31
CANDIDATE,,298.101717,,16.668394,1.9081122,,,,2.094,,,,2660,,,,18.193,,,,5740.22,,,,2424,,,,8944,,,,3.3
FALSE POSITIVE,,98.039425,,17.38055,1.0754572,,,,1.832,,,,690,,,,8.40705,,,,3593.53,,,,2156,,,,6290,,,,3.29
FALSE POSITIVE,,119.365428,,-38.970243,1.3955317,,,,2.62,,,,960,,,,10.461,,,,3163.13,,,,2089,,,,4957.2,,,,3.29
CANDIDATE,,173.32243,,-67.449283,2.1738256,,,,2.081,,,,2730,,,,17.3093,,,,2159.42,,,,1899,,,,7588,,,,3.28
CANDIDATE,,173.314149,,-60.075995,5.3418199,,,,4.99,,,,330,,,,5.7387,,,,1467.54,,,,1724,,,,6466.2,,,,3.28
CANDIDATE,,47.149903,,-77.383328,9.4546478,,,,10.2947735,,,,1354.926151,,,,12.7656513,,,,161.2909516,,,,908.9128651,,,,5001.6,,,,3.2739301
FALSE POSITIVE,,92.674931,,31.328397,1.8354365,,,,1.633,,,,310,,,,5.7988,,,,6809.52,,,,2530,,,,9758,,,,3.27
CANDIDATE,,12.93336,,48.580641,4.0616142,,,,2.202,,,,1882,,,,13.9054,,,,405.221,,,,1249,,,,6525,,,,3.26
FALSE POSITIVE,,101.693856,,-6.144778,20.4276727,,,,5.1878327,,,,2988.502078,,,,19.9576585,,,,1594.302814,,,,1611.619274,,,,8844,,,,3.25795
FALSE POSITIVE,,141.247814,,-42.799765,1.0962372,,,,2.336,,,,2460,,,,15.7533,,,,6446.8,,,,2496,,,,6519,,,,3.25
CANDIDATE,,293.44357,,53.464527,1.7753644,,,,2.034,,,,878,,,,9.49405,,,,7558.32,,,,2597,,,,9598,,,,3.23
CANDIDATE,,290.619895,,60.853904,2.994263,,,,6.9172309,,,,1120.649236,,,,11.5655979,,,,619.5809037,,,,1272.460341,,,,4784,,,,3.22859
CANDIDATE,,67.324162,,26.163578,3.1479748,,,,2.391,,,,478,,,,6.17795,,,,810.338,,,,1486,,,,6555,,,,3.22
FALSE POSITIVE,,346.518266,,52.787014,2.590266,,,,4.378,,,,700,,,,9.54526,,,,13184.6,,,,2985,,,,5855,,,,3.22
CANDIDATE,,88.090245,,-48.09086,10.6079445,,,,12.7030565,,,,1233.939107,,,,11.6613557,,,,1516.940178,,,,1591.702371,,,,6481,,,,3.2125199
CANDIDATE,,293.082301,,56.889553,14.2317652,,,,8.372,,,,912,,,,8.27506,,,,328.667,,,,1186,,,,5914,,,,3.21
CANDIDATE,,55.140851,,13.552772,5.7740318,,,,4.551,,,,4820,,,,24.6129,,,,660.328,,,,1412,,,,4837.8,,,,3.19
FALSE POSITIVE,,101.010233,,-26.030612,0.599092,,,,1.232,,,,1290,,,,11.5931,,,,2400.89,,,,1950,,,,5220,,,,3.19
CANDIDATE,,126.585367,,5.2584,6.4095555,,,,8.4737438,,,,2845.143247,,,,17.4517774,,,,2737.145339,,,,1844.778439,,,,6316,,,,3.18048
CANDIDATE,,321.742552,,52.161352,3.1739167,,,,3.65,,,,2669,,,,17.4128,,,,3458.24,,,,2136,,,,7099,,,,3.17
FALSE POSITIVE,,127.945702,,44.832314,3.566276,,,,4.197,,,,3870,,,,20.2251,,,,1949.16,,,,1851,,,,6831.4,,,,3.17
FALSE POSITIVE,,318.235161,,46.26809,2.5778717,,,,3.472,,,,1010,,,,18.687,,,,62241.5,,,,4400,,,,8321,,,,3.16
CANDIDATE,,100.833125,,-66.947656,6.9067868,,,,6.6850674,,,,1751.777857,,,,13.4176028,,,,1864.97414,,,,1676.053793,,,,5731.8,,,,3.1513801
FALSE POSITIVE,,308.065776,,58.328901,0.6171788,,,,1.433,,,,519,,,,7.26341,,,,18771.3,,,,3260,,,,9603,,,,3.14
FALSE POSITIVE,,144.77363,,-45.426185,0.68831,,,,1.365,,,,3983.64,,,,21.715,,,,21261.5,,,,3364,,,,6054,,,,3.13
CANDIDATE,,262.519987,,-42.456376,3.7590079,,,,3.304,,,,869,,,,7.61924,,,,3166.13,,,,2089,,,,9505,,,,3.13
CANDIDATE,,148.00043,,-63.075191,3.3898234,,,,1.587,,,,1840,,,,14.9878,,,,229.032,,,,1083,,,,6096,,,,3.13
CANDIDATE,,310.086743,,-63.789963,2.94308,,,,4.073,,,,4490,,,,45.3525,,,,2533.34,,,,1976,,,,4437,,,,3.13
CANDIDATE,,155.79732,,-52.750212,4.5992844,,,,8.1684205,,,,3654.135375,,,,19.0560523,,,,3114.11859,,,,1905.25687,,,,5695,,,,3.1233001
FALSE POSITIVE,,300.767548,,31.059697,1.5163046,,,,3.619,,,,1180,,,,10.3854,,,,7863.45,,,,2623,,,,6529,,,,3.11
FALSE POSITIVE,,1.129367,,66.403045,1.6212474,,,,3.262,,,,1100,,,,10.3122,,,,1846.95,,,,1826,,,,4949,,,,3.11
CANDIDATE,,129.462346,,-43.042017,3.477756,,,,1.999,,,,1177,,,,11.3342,,,,379.541,,,,1229,,,,6221,,,,3.1
CANDIDATE,,146.44726,,-25.457737,5.8681984,,,,3.651,,,,2639,,,,18.1157,,,,1402.27,,,,1704,,,,6294,,,,3.1
FALSE POSITIVE,,238.001011,,-76.49349,9.30992,,,,3.464,,,,2220,,,,14.2968,,,,215.208,,,,1067,,,,6907,,,,3.09
FALSE POSITIVE,,106.405063,,-11.979855,6.3037582,,,,3.757,,,,1700,,,,13.147,,,,1735.06,,,,1798,,,,8502,,,,3.08
FALSE POSITIVE,,110.25862,,19.401721,7.7235903,,,,5.953,,,,2720,,,,17.2663,,,,1249.81,,,,1656,,,,5994,,,,3.08
FALSE POSITIVE,,306.244087,,30.348186,1.773346,,,,3.291,,,,710,,,,7.95884,,,,6411.52,,,,2492,,,,6802,,,,3.08
FALSE POSITIVE,,277.476856,,61.049501,7.6869063,,,,4.652,,,,4500,,,,23.7824,,,,655.022,,,,1409,,,,5147.3,,,,3.07
CANDIDATE,,38.116051,,80.746391,5.38265,,,,7.477,,,,1110,,,,10.2347,,,,986.287,,,,1561,,,,4942,,,,3.05
CANDIDATE,,99.021022,,8.430202,3.6039259,,,,3.737,,,,940,,,,9.20389,,,,1930.96,,,,1846,,,,7080,,,,3.05
FALSE POSITIVE,,138.402252,,-55.19791,8.30792,,,,3.228,,,,8350,,,,43.1068,,,,2276.25,,,,1924,,,,9081,,,,3.05
CANDIDATE,,106.522483,,10.732296,5.6906792,,,,5.548,,,,3155,,,,15.1551,,,,1362.1,,,,1692,,,,6749,,,,3.03
CANDIDATE,,92.846314,,65.762376,4.9386676,,,,3.2881257,,,,4880.254978,,,,21.2842391,,,,2578.09605,,,,1817.374889,,,,5646,,,,3.0218699
CANDIDATE,,356.316355,,53.750777,2.9944941,,,,3.621007,,,,2479.367133,,,,15.498003,,,,10706.91384,,,,2594.393374,,,,7465,,,,3.0202899
CANDIDATE,,230.71059,,-59.835375,5.0872348,,,,8.035,,,,4037,,,,17.9284,,,,10680.9,,,,2832,,,,8972,,,,3.02
FALSE POSITIVE,,76.851285,,36.275085,9.1505,,,,2.986,,,,1370,,,,11.1497,,,,272.763,,,,1132,,,,7719,,,,3.02
FALSE POSITIVE,,34.195855,,29.570473,3.46608,,,,4.403,,,,1620,,,,20.8363,,,,23536.1,,,,3450,,,,7249.8,,,,3.02
CANDIDATE,,117.471528,,-38.222254,5.3374045,,,,1.849,,,,2780,,,,16.5532,,,,104.023,,,,889,,,,5064.7,,,,3.01
FALSE POSITIVE,,65.410196,,-67.467038,92.1950921,,,,4.206,,,,3760,,,,18.9408,,,,1.49663,,,,308,,,,5030.6,,,,3
CANDIDATE,,65.346085,,62.245206,1.1549925,,,,0.911,,,,739,,,,9.15106,,,,624.87,,,,1392,,,,4815,,,,2.99
FALSE POSITIVE,,120.837688,,-51.345626,1.3214483,,,,3.435,,,,2180,,,,21.8839,,,,35623.2,,,,3827,,,,5050.8,,,,2.99
CANDIDATE,,309.85366,,48.172079,3.8753785,,,,4.275,,,,4016,,,,18.0963,,,,380.113,,,,1230,,,,4637,,,,2.98
CANDIDATE,,46.934208,,62.39968,2.5312823,,,,4.428,,,,1320,,,,11.7709,,,,9149.72,,,,2724,,,,6170,,,,2.98
FALSE POSITIVE,,65.876229,,35.495109,0.6803433,,,,2.0674164,,,,565.5754223,,,,8.1888041,,,,71174.02445,,,,4165.816448,,,,7325.5,,,,2.97877
CANDIDATE,,6.18687,,58.468546,4.4532909,,,,6.572,,,,2866,,,,13.8211,,,,1510.03,,,,1736,,,,5613,,,,2.97
